Problem,HeuristicName,N,d/N,Success(Y/N),Time(ms),EBF,avg H value, min Depth, max Depth,Puzzle-Solution
1,Blockers&TargetVehicleDist,518,0.04633204633204633,Y,116,1.2318954467773438,6.04054054054054,1,22, IR1 --> HR1 --> RD1 --> QD1 --> XL2 --> FU1 --> EU1 --> GL2 --> PD1 --> OD1 --> AL1 --> DR2 --> EU2 --> XR1 --> BR1 --> FU2 --> XR1 --> RU1 --> QU1 --> HL2 --> IL2 --> PD1 --> OD1 --> XR2 --> END
2,Blockers&TargetVehicleDist,1598,0.012923076923076923,Y,237,1.3787841796875,5.361702127659575,1,19, DD2 --> EL2 --> GR4 --> FD2 --> PD1 --> XL3 --> CD1 --> BR1 --> PU3 --> QL2 --> GL2 --> CD3 --> QR2 --> FU1 --> GL2 --> PD3 --> XR3 --> PU3 --> QL1 --> OD3 --> XR1 --> END
3,Blockers&TargetVehicleDist,1510,0.015604681404421327,Y,126,1.3071060180664062,7.170860927152318,1,22, BL1 --> PU2 --> FU2 --> GU2 --> QR3 --> RR3 --> DD2 --> XR1 --> ER1 --> AD4 --> EL1 --> OR2 --> BL1 --> XL1 --> DU4 --> XR1 --> ER1 --> AU2 --> RL3 --> QL3 --> PD2 --> GD1 --> FD1 --> XR3 --> END
4,Blockers&TargetVehicleDist,1143,0.021079258010118045,Y,94,1.2723464965820312,4.904636920384952,1,23, RR3 --> PD1 --> QR2 --> DR3 --> XL1 --> BD4 --> XR1 --> AR1 --> CR1 --> PU3 --> QL3 --> OD2 --> CR3 --> AR3 --> OU2 --> QR3 --> PD3 --> XL1 --> BU4 --> XR1 --> PU3 --> RL3 --> QL3 --> OD3 --> XR3 --> END
5,Blockers&TargetVehicleDist,436,0.04932735426008968,Y,40,1.2528762817382812,4.61697247706422,1,20, DU2 --> XL2 --> AD1 --> BL1 --> JU1 --> EL2 --> FU1 --> OR2 --> AD3 --> XR2 --> ER2 --> DD4 --> BL2 --> EL2 --> XL2 --> AU4 --> XR2 --> ER2 --> DU3 --> OL2 --> FD2 --> XR2 --> END
6,Blockers&TargetVehicleDist,381,0.024719101123595506,Y,41,1.6817626953125,4.635170603674541,1,10, CD1 --> BR2 --> DU2 --> EU2 --> FL3 --> ED1 --> CD1 --> XR3 --> QL3 --> PD1 --> XR1 --> END
7,Blockers&TargetVehicleDist,228,0.08898305084745763,Y,21,1.2193069458007812,4.6535087719298245,1,19, PD2 --> QR2 --> XL1 --> BD4 --> XR1 --> AR1 --> PU3 --> QL3 --> OD1 --> AR3 --> OU1 --> QR3 --> PD3 --> XL1 --> BU4 --> XR1 --> PU3 --> QL3 --> RL3 --> OD3 --> XR3 --> END
8,Blockers&TargetVehicleDist,2130,0.011358671909130624,Y,173,1.2983779907226562,5.638967136150235,1,24, BU1 --> GR1 --> XL1 --> AD3 --> XR1 --> BD1 --> OL3 --> PU1 --> EL1 --> HU2 --> QR2 --> GR1 --> AD1 --> DD1 --> EL2 --> PD2 --> CL3 --> HU2 --> PU2 --> ER3 --> DU1 --> FU1 --> AU1 --> QL3 --> PD3 --> XR3 --> END
9,Blockers&TargetVehicleDist,1063,0.02745792736935341,Y,105,1.1977157592773438,6.888052681091251,1,29, QL2 --> DD1 --> EL1 --> PD1 --> OR1 --> AU1 --> XL3 --> AD1 --> OL3 --> PU1 --> ER1 --> DU1 --> QR3 --> CD1 --> AD1 --> BL3 --> DU2 --> EL1 --> PD1 --> OR3 --> AU2 --> EL3 --> CU2 --> FL4 --> CD1 --> DD2 --> XR2 --> QL3 --> XR1 --> PD2 --> XR1 --> END
10,Blockers&TargetVehicleDist,3768,0.0066050198150594455,Y,387,1.3491363525390625,4.222929936305732,1,23, DU2 --> FL1 --> CU1 --> XL2 --> AD2 --> BL1 --> EU2 --> GU2 --> HR4 --> OR3 --> AD2 --> XR2 --> FR2 --> DD4 --> CD4 --> BL2 --> FL2 --> XL2 --> AU4 --> XR2 --> FR2 --> CU3 --> OL2 --> GD1 --> XR2 --> END
11,Blockers&TargetVehicleDist,6283,0.004344453064391001,Y,431,1.3121795654296875,6.006843864395989,1,27, CL1 --> OU1 --> EU1 --> QR2 --> PD1 --> XL1 --> BD4 --> XR1 --> DR1 --> AR1 --> PU3 --> QL3 --> GU3 --> QR3 --> PD3 --> AL1 --> DL1 --> XL1 --> BU4 --> HL2 --> QL2 --> IL1 --> OD3 --> CR1 --> GU1 --> XR2 --> ED2 --> XR2 --> END
