Problem,HeuristicName,N,d/N,Success(Y/N),Time(ms),EBF,avg H value, min Depth, max Depth,Puzzle-Solution
1,BlockingCars,848,0.008820287,Y,234,2.168642044,2.061320755,1,8, CL3 --> OD3 --> AR4 --> PU1 --> BU1 --> RL2 --> QD2 --> XR3 --> END
2,BlockingCars,709,0.009638554,Y,105,2.141880035,2.705218618,1,8, EL1 --> PD2 --> XR1 --> AD1 --> OL3 --> BU1 --> CU2 --> XR3 --> END
3,BlockingCars,479,0.025547445,Y,70,1.442420959,1.901878914,1,14, OU2 --> PU3 --> AR3 --> CR2 --> OD3 --> XR1 --> BU4 --> XL1 --> OU3 --> AL3 --> CL3 --> OD3 --> PD3 --> XR3 --> END
4,BlockingCars,148,0.056962025,Y,15,1.570159912,1.452702703,1,9, OD3 --> XL1 --> AU3 --> XR1 --> OU3 --> QL3 --> RL2 --> PD3 --> XR3 --> END
5,BlockingCars,1077,0.0078125,Y,103,2.029819489,2.649953575,1,9, FL3 --> EL3 --> GD2 --> AR1 --> PU1 --> RL1 --> OD3 --> QD2 --> XR3 --> END
6,BlockingCars,667,0.012552301,Y,80,1.912719727,3.269865067,1,9, XL1 --> EU3 --> DR1 --> FU1 --> RL3 --> QD1 --> OD2 --> PD2 --> XR4 --> END
7,BlockingCars,2036,0.005826983,Y,256,1.689056396,2.22151277,1,13, FD2 --> CD4 --> DD2 --> BR2 --> EU1 --> XR1 --> AD4 --> XL1 --> ED1 --> BL4 --> DU2 --> EU1 --> XR3 --> END
8,BlockingCars,814,0.014150943,Y,96,1.703613281,3.308353808,1,11, AL3 --> CU1 --> BL2 --> DU2 --> EU2 --> XR3 --> IU2 --> QL1 --> PL1 --> GL1 --> OD3 --> XR1 --> END
9,BlockingCars,455,0.02484472,Y,70,1.533103943,1.641758242,2,12, OD1 --> XR1 --> PU3 --> QL1 --> DD2 --> XR1 --> AD1 --> EL2 --> BL1 --> CL1 --> FU2 --> XR2 --> END
10,BlockingCars,1599,0.010526316,Y,251,1.440383911,1.175734834,1,17, CL1 --> OU1 --> QR2 --> XR2 --> BD4 --> AR1 --> DR1 --> PU2 --> QL3 --> XL2 --> EU2 --> HL1 --> FL1 --> OD3 --> CR1 --> EU2 --> XR3 --> END
11,BlockingCars,736,0.033377837,Y,64,1.216453552,1.919836957,1,25, OD3 --> XL1 --> BU2 --> QL1 --> EU3 --> QR1 --> RR1 --> BD3 --> XR1 --> OU3 --> QL3 --> PD1 --> AR3 --> PU1 --> QR3 --> OD3 --> XL1 --> BU4 --> XR1 --> OU3 --> RL3 --> QL3 --> PD3 --> ED2 --> XR3 --> END
12,BlockingCars,741,0.021091811,Y,65,1.406097412,2.22537112,1,16, BR2 --> PU1 --> QL3 --> CU3 --> RR3 --> QR3 --> PD3 --> BL2 --> CU1 --> XR3 --> AD4 --> BL1 --> PU3 --> RL2 --> QL2 --> OD3 --> XR1 --> END
13,BlockingCars,4607,0.003316062,Y,291,1.597877502,2.500542652,1,16, OU1 --> FR1 --> ED1 --> DD2 --> XL3 --> GU3 --> DU2 --> FL2 --> KL1 --> HL2 --> OD3 --> CD3 --> BR2 --> GU1 --> DU1 --> XR4 --> END
14,BlockingCars,3967,0.004063098,Y,335,1.535041809,1.881774641,1,17, ED1 --> DD1 --> XL2 --> BD1 --> AR4 --> BU1 --> XR2 --> DU3 --> EU3 --> XL2 --> HL2 --> IU2 --> JL4 --> GD2 --> FD1 --> ID1 --> XR4 --> END
15,BlockingCars,522,0.044145873,Y,17,1.232292175,2.833333333,1,22, IR1 --> HR1 --> QD1 --> RD1 --> XL2 --> EU1 --> FU1 --> GL2 --> PD1 --> OD1 --> DR2 --> AL1 --> EU2 --> BR1 --> FU2 --> XR2 --> QU1 --> RU1 --> HL2 --> IL2 --> PD1 --> OD1 --> XR2 --> END
16,BlockingCars,1954,0.010697911,Y,137,1.344909668,1.969805527,1,21, GR3 --> FD2 --> PD1 --> DD2 --> XL3 --> CD1 --> BR1 --> EL2 --> PU3 --> QL2 --> GL1 --> CD3 --> QR2 --> FU1 --> GL2 --> PD3 --> XR3 --> PU3 --> QL1 --> OD3 --> XR1 --> END
17,BlockingCars,1914,0.012276215,Y,115,1.288490295,3.003134796,1,24, BL1 --> PU2 --> FU2 --> GU2 --> QR3 --> RR3 --> DD2 --> XR1 --> ER1 --> AD4 --> EL1 --> XL1 --> BL1 --> OR2 --> DU4 --> XR1 --> ER1 --> AU2 --> QL3 --> GD1 --> RL3 --> PD2 --> FD2 --> XR3 --> END
18,BlockingCars,1415,0.017618041,Y,94,1.254310608,1.310954064,1,25, RR3 --> PD1 --> XL1 --> DR3 --> QR2 --> BD4 --> XR1 --> CR1 --> AR1 --> PU3 --> QL3 --> OD2 --> AR3 --> CR3 --> OU2 --> QR3 --> PD3 --> XL1 --> BU4 --> XR1 --> PU3 --> QL3 --> RL3 --> OD3 --> XR3 --> END
19,BlockingCars,473,0.046025105,Y,35,1.226356506,1.32346723,1,22, DU2 --> XL2 --> AD1 --> BL1 --> JU1 --> EL2 --> FU1 --> OR2 --> AD3 --> ER2 --> XR2 --> DD4 --> EL2 --> XL2 --> BL2 --> AU4 --> XR2 --> ER2 --> DU2 --> OL3 --> FD2 --> XR2 --> END
20,BlockingCars,495,0.017421603,Y,40,1.859535217,2.460606061,1,9, CD1 --> BR3 --> DU2 --> EU2 --> QL1 --> PD1 --> FL3 --> ED1 --> CD1 --> XR4 --> END
21,BlockingCars,249,0.084677419,Y,16,1.193496704,1.172690763,1,21, PD2 --> XL1 --> QR2 --> BD4 --> XR1 --> AR1 --> PU3 --> QL3 --> OD2 --> AR3 --> OU2 --> QR3 --> PD3 --> XL1 --> BU4 --> XR1 --> PU3 --> QL3 --> RL3 --> OD3 --> XR3 --> END
22,BlockingCars,2900,0.008513425,Y,183,1.284973145,1.93862069,1,26, BU1 --> XL1 --> GR1 --> AD3 --> XR1 --> BD1 --> OL3 --> PU1 --> EL1 --> HU2 --> QR2 --> DD1 --> AD1 --> EL3 --> GR1 --> PD2 --> CL3 --> HU2 --> PU2 --> ER4 --> FU1 --> DU1 --> AU1 --> QL3 --> PD3 --> XR3 --> END
23,BlockingCars,1488,0.018589744,Y,110,1.213798523,2.750672043,1,29, QL2 --> DD1 --> EL1 --> PD1 --> OR1 --> AU1 --> XL3 --> AD1 --> OL1 --> PU1 --> ER1 --> DU1 --> QR3 --> CD1 --> AD1 --> BL3 --> DU2 --> EL1 --> PD1 --> OR1 --> AU2 --> EL3 --> CU2 --> FL4 --> CD1 --> QL3 --> PD2 --> DD3 --> XR4 --> END
24,BlockingCars,4090,0.006097561,Y,312,1.317680359,1.252567237,1,25, DU2 --> CU1 --> XL2 --> FL1 --> AD2 --> BL1 --> EU2 --> GU2 --> OR3 --> HR4 --> AD2 --> FR2 --> XR2 --> CD4 --> DD4 --> XL2 --> FL2 --> BL2 --> AU4 --> XR2 --> FR2 --> CU3 --> OL2 --> GD1 --> XR2 --> END
25,BlockingCars,6817,0.003834683,Y,444,1.317054749,2.664515183,1,27, CL1 --> OU1 --> PD1 --> EU1 --> QR2 --> XL1 --> BD4 --> XR1 --> AR1 --> DR1 --> PU3 --> QL3 --> GU3 --> QR3 --> PD3 --> DL1 --> AL1 --> XL1 --> BU4 --> IL2 --> QL2 --> HL2 --> OD3 --> CR1 --> GU1 --> ED2 --> XR4 --> END
26,BlockingCars,4154,0.006603774,Y,263,1.275871277,2.611699567,1,28, DU1 --> GU1 --> ED1 --> RL1 --> HR1 --> CD3 --> XR1 --> AD1 --> OL3 --> PU1 --> RR2 --> AD3 --> XL1 --> RL2 --> CU4 --> HL1 --> GD1 --> RR3 --> EU1 --> XR1 --> FU1 --> AU3 --> HL3 --> FD1 --> RL2 --> PD3 --> DU1 --> XR2 --> END
27,BlockingCars,2289,0.012037833,Y,157,1.244590759,2.734381826,1,28, PU2 --> ER1 --> OD2 --> CR2 --> BR2 --> DU2 --> XR1 --> AD4 --> XL1 --> DD2 --> CL3 --> BL3 --> DU2 --> OU2 --> EL4 --> OD2 --> DD2 --> CR3 --> DU2 --> XR1 --> ER1 --> AU3 --> EL1 --> FU1 --> RL3 --> PD3 --> OD1 --> XR3 --> END
28,BlockingCars,1526,0.019430052,Y,76,1.204025269,2.517693316,1,30, QU1 --> GR2 --> FR2 --> CD1 --> AD1 --> OR3 --> DD1 --> PU1 --> EL3 --> AD1 --> BL1 --> QU1 --> RR1 --> PD2 --> BL3 --> AU1 --> PU2 --> ER3 --> CU1 --> DU1 --> FL2 --> PD3 --> OL3 --> AU1 --> XR3 --> PU2 --> GL1 --> RL1 --> QD2 --> XR1 --> END
29,BlockingCars,4267,0.007234539,Y,294,1.252883911,3.750410124,1,30, BU1 --> ER1 --> GU3 --> EL1 --> HU1 --> RR3 --> CD1 --> DL1 --> FR2 --> AD3 --> OR1 --> XR1 --> DR1 --> CU4 --> DL1 --> XL1 --> AU3 --> RL3 --> HD1 --> ER1 --> FL2 --> GD3 --> EL2 --> PD3 --> OR2 --> AU1 --> XR3 --> AD1 --> OL1 --> BU1 --> XR1 --> END
30,BlockingCars,1065,0.029520295,Y,62,1.179176331,1.450704225,1,31, DR1 --> CR1 --> FR1 --> ER1 --> OD3 --> XL1 --> AD1 --> PL2 --> QU3 --> DR1 --> FR1 --> BD3 --> DL1 --> QD1 --> PR2 --> AU1 --> XR3 --> OU3 --> CL1 --> EL1 --> AD4 --> CR1 --> OD1 --> PL3 --> QU1 --> DR1 --> XL2 --> BU4 --> DL1 --> FL1 --> QD3 --> XR3 --> END
31,BlockingCars,3742,0.009785771,Y,224,1.188804626,2.504275788,1,37, AR1 --> DU2 --> XL1 --> QU2 --> FR3 --> QD2 --> XR1 --> DD4 --> AL1 --> XL1 --> QU3 --> EL3 --> BD1 --> CL1 --> PU1 --> FR1 --> BD1 --> QD3 --> XR3 --> QU3 --> ER1 --> DU3 --> EL1 --> QD3 --> AR1 --> DU1 --> XL3 --> QU2 --> BU1 --> FL4 --> BD1 --> QD2 --> XR3 --> QU1 --> RL3 --> PD2 --> XR1 --> END
32,BlockingCars,517,0.06864564,Y,28,1.119659424,2.522243714,1,36, BD1 --> CL1 --> PU3 --> FR1 --> KU1 --> HR4 --> KD1 --> FL1 --> PD2 --> CR1 --> BU1 --> DD1 --> EL1 --> OD3 --> XR3 --> OU3 --> ER1 --> DU3 --> EL1 --> OD3 --> AR1 --> DU1 --> XL3 --> BD1 --> CL1 --> PU2 --> FR1 --> KU1 --> OU1 --> HL4 --> KD1 --> FL1 --> PD3 --> CR1 --> BU1 --> OD1 --> XR4 --> END
33,BlockingCars,3094,0.012158055,Y,209,1.166267395,3.542340013,1,40, BL1 --> PU3 --> ER1 --> GU3 --> QR1 --> ID1 --> DL1 --> EL2 --> HU3 --> FR3 --> ER2 --> GD2 --> QR2 --> RD3 --> XR2 --> AD1 --> BL3 --> HU1 --> XR1 --> RU3 --> DR1 --> IU3 --> DL1 --> RD3 --> BR2 --> AU1 --> IU1 --> XL3 --> RU2 --> GU1 --> FL4 --> GD1 --> RD2 --> XR3 --> RU1 --> QL3 --> GD1 --> EL1 --> PD3 --> XR1 --> END
34,BlockingCars,4239,0.010030324,Y,252,1.160049438,3.167728238,1,43, XR1 --> AD1 --> RL3 --> BU1 --> HR1 --> DD1 --> CU1 --> PU1 --> QR3 --> EU1 --> IR1 --> AD3 --> XL1 --> EU2 --> QL3 --> DU2 --> FL3 --> DD2 --> PD1 --> BD1 --> RR3 --> EU1 --> XR1 --> QR1 --> AU4 --> XL1 --> ED1 --> RL1 --> IL1 --> PU1 --> QR2 --> FL1 --> ED3 --> QL3 --> CD2 --> DU1 --> HL1 --> PD3 --> XR1 --> AD1 --> RL2 --> BU1 --> XR3 --> END
