Problem,HeuristicName,N,d/N,Success(Y/N),Time(ms),EBF,avg H value, min Depth, max Depth,Puzzle-Solution
1,TargetVehicleDistance,3652,0.010644105,Y,472,1.181373596,3.548740416,1,38, AR1 --> DU2 --> XL1 --> QU2 --> FR3 --> QD2 --> XR1 --> DD4 --> AL1 --> XL1 --> QU3 --> EL3 --> QD3 --> BD1 --> CL3 --> PU1 --> FR1 --> BD1 --> XR3 --> CR2 --> QU3 --> ER1 --> DU3 --> EL1 --> QD3 --> AR1 --> DU1 --> XL3 --> QU2 --> BU1 --> FL4 --> QD2 --> XR1 --> BD1 --> XR2 --> QU2 --> RL1 --> PD2 --> XR1 --> END
2,TargetVehicleDistance,553,0.06884058,Y,49,1.116165161,3.585895118,1,37, BD1 --> CL1 --> PU3 --> FR1 --> KU1 --> HR4 --> KD1 --> FL1 --> PD2 --> DD1 --> CR1 --> EL1 --> OD3 --> BU1 --> XR3 --> OU3 --> ER1 --> DU3 --> EL1 --> OD3 --> AR1 --> DU1 --> XL3 --> BD1 --> CL1 --> PU2 --> OU1 --> FR1 --> KU1 --> HL4 --> OD1 --> XR1 --> KD1 --> FL1 --> PD3 --> CR1 --> BU1 --> XR3 --> END
3,TargetVehicleDistance,2931,0.01432958,Y,209,1.162315369,3.67587854,1,40, BL1 --> PU3 --> ER1 --> GU3 --> QR1 --> ID1 --> DL1 --> EL2 --> HU3 --> ER2 --> QR2 --> FR3 --> RD3 --> XR1 --> BL1 --> HU1 --> GD2 --> XR2 --> AD1 --> BL2 --> RU3 --> DR1 --> IU3 --> DL1 --> RD3 --> BR2 --> AU1 --> IU1 --> XL3 --> RU2 --> GU1 --> FL4 --> RD2 --> XR1 --> GD1 --> XR2 --> RU2 --> QL3 --> GD1 --> EL1 --> PD3 --> XR1 --> END
4,TargetVehicleDistance,4312,0.010180472,Y,256,1.160308838,3.474257885,1,43, XR1 --> RL1 --> HR1 --> CU1 --> DD1 --> PU1 --> QR3 --> AD3 --> RL2 --> XL1 --> EU3 --> IR1 --> BU1 --> AD1 --> QL3 --> DU2 --> FL3 --> PD1 --> DD2 --> BD1 --> RR3 --> EU1 --> XR1 --> QR2 --> AU4 --> XL1 --> ED1 --> RL2 --> PU1 --> IL1 --> QR1 --> FL1 --> ED3 --> XR1 --> QL3 --> DU1 --> AD1 --> RL1 --> BU1 --> CD2 --> XR2 --> HL1 --> PD3 --> XR1 --> END
5,TargetVehicleDistance,3828,0.011230086,Y,415,1.161209106,3.74137931,1,42, GR1 --> PD1 --> AR1 --> KD1 --> QL1 --> BU1 --> EU2 --> FU3 --> DR3 --> ED2 --> BD1 --> AL1 --> PU1 --> QR3 --> KU1 --> GL1 --> OD3 --> XR1 --> KU3 --> XL1 --> OU3 --> QL3 --> PD1 --> AR1 --> BU1 --> EU2 --> DL4 --> ED2 --> BD1 --> AL1 --> FD3 --> PU1 --> QR3 --> OD3 --> AL2 --> BU1 --> XR3 --> KD1 --> AL1 --> OU3 --> QL1 --> PD3 --> XR1 --> END
6,TargetVehicleDistance,2054,0.02159309,Y,108,1.137268066,2.028237585,1,43, XR1 --> DD1 --> RR2 --> OD1 --> PL1 --> AL1 --> CR1 --> QU1 --> RR1 --> EU3 --> RL1 --> QD1 --> AR1 --> PR1 --> OU1 --> RL2 --> DU1 --> GR4 --> DD1 --> RR2 --> OD1 --> PL1 --> AL1 --> QU1 --> BD3 --> RR1 --> ED3 --> RL2 --> QD1 --> AR1 --> PR1 --> OU1 --> RL1 --> CL2 --> XL2 --> DU3 --> RR2 --> OD3 --> PL1 --> FL1 --> DU1 --> GL1 --> XR2 --> QD2 --> XR1 --> END
7,TargetVehicleDistance,1923,0.024314537,Y,91,1.123687744,3.359334373,1,46, GR1 --> QD1 --> XL1 --> BD1 --> CL2 --> PU1 --> OU1 --> RR2 --> BD2 --> XR1 --> QU1 --> GL1 --> BD1 --> RL2 --> OD1 --> CR1 --> AR1 --> DR1 --> QU2 --> RL1 --> EU3 --> RR1 --> QD2 --> AL1 --> CL1 --> OU1 --> RR2 --> BU1 --> GR2 --> QD1 --> DL1 --> XL1 --> BU2 --> RL2 --> FL3 --> OD2 --> PD2 --> CR2 --> BU1 --> EU1 --> XR2 --> QU1 --> GL2 --> HL2 --> OD1 --> PD1 --> XR2 --> END
8,TargetVehicleDistance,3226,0.015109467,Y,173,1.131614685,3.420024799,1,48, OL2 --> RU2 --> GR1 --> ER1 --> CD2 --> BR2 --> DU1 --> FU1 --> QL3 --> CD1 --> EL1 --> RD1 --> OR2 --> DU1 --> XR3 --> AD3 --> XL3 --> DD1 --> OL1 --> RU1 --> ER1 --> CU2 --> QR3 --> FD1 --> DD1 --> BL3 --> AD1 --> DU1 --> CU1 --> EL4 --> DD1 --> RD1 --> CD1 --> BR3 --> OR1 --> DU2 --> XR1 --> ER1 --> AU4 --> EL1 --> XL1 --> FU2 --> QL3 --> GL4 --> FD1 --> CD1 --> XR2 --> RD2 --> XR2 --> END
9,TargetVehicleDistance,3561,0.014472586,Y,164,1.12159729,3.064588599,1,52, IR2 --> HR1 --> CD2 --> AD2 --> OL3 --> RU2 --> ER1 --> HR1 --> BD3 --> EL1 --> RD1 --> OR3 --> AU2 --> XR3 --> AD1 --> OL1 --> RU1 --> ER1 --> DR2 --> GU4 --> FU4 --> DL2 --> EL1 --> RD1 --> OR1 --> AU1 --> XL3 --> AD2 --> OL1 --> RU1 --> ER1 --> BU3 --> EL1 --> RD1 --> OR1 --> AU2 --> CU2 --> HL4 --> IL4 --> CD2 --> AD1 --> OL1 --> RU1 --> ER1 --> BD3 --> EL2 --> RD2 --> OR1 --> AU1 --> XR3 --> RD1 --> XR1 --> END
10,TargetVehicleDistance,2816,0.017932489,Y,138,1.121498108,2.219815341,1,50, IR1 --> ED1 --> PU1 --> QR3 --> CD2 --> FU1 --> HR1 --> OD3 --> AL1 --> DU1 --> XL3 --> DD1 --> BD1 --> AR3 --> DU1 --> XR2 --> OU3 --> HL1 --> FD1 --> CU3 --> QL3 --> PD1 --> AR1 --> XL1 --> EU4 --> XR1 --> QR2 --> CD3 --> XL1 --> ED1 --> AL1 --> PU1 --> QR1 --> FU1 --> HR1 --> OD3 --> XL1 --> DD1 --> AL3 --> DU1 --> BU1 --> EU1 --> XR3 --> OU2 --> HL1 --> FD1 --> QL1 --> GL1 --> IL1 --> PD3 --> XR1 --> END
