Problem,HeuristicName,N,d/N,Success(Y/N),Time(ms),EBF,avg H value, min Depth, max Depth,Puzzle-Solution
1,BlockingCars,732,0.033200531,Y,190,1.216766357,1.93579235,1,25, OD3 --> XL1 --> BU2 --> QL2 --> EU3 --> RR1 --> QR2 --> BD3 --> XR1 --> OU3 --> QL3 --> PD2 --> AR3 --> PU2 --> QR3 --> OD3 --> XL1 --> BU4 --> XR1 --> OU3 --> RL3 --> QL3 --> PD3 --> ED2 --> XR3 --> END
2,BlockingCars,733,0.021410579,Y,118,1.404548645,2.241473397,1,16, BR2 --> PU1 --> QL3 --> CU3 --> RR3 --> QR3 --> PD3 --> BL1 --> CU1 --> XR3 --> AD2 --> BL2 --> PU3 --> QL2 --> RL1 --> OD3 --> XR1 --> END
3,BlockingCars,4051,0.003850782,Y,346,1.58127594,2.364601333,1,16, ED1 --> OU1 --> DD2 --> XL3 --> FR1 --> GU3 --> DU2 --> HL2 --> KL1 --> FL2 --> OD3 --> CD3 --> BR2 --> GU1 --> DU1 --> XR4 --> END
4,BlockingCars,4540,0.003554998,Y,478,1.548622131,1.879295154,1,17, ED1 --> DD1 --> XL2 --> BD1 --> AR3 --> BU1 --> XR2 --> EU3 --> DU3 --> HL2 --> XL2 --> IU2 --> JL4 --> GD1 --> ID2 --> FD2 --> XR4 --> END
5,BlockingCars,521,0.044230769,Y,18,1.232162476,2.827255278,1,22, IR1 --> QD1 --> HR1 --> RD1 --> XL2 --> FU1 --> EU1 --> GL2 --> OD1 --> PD1 --> AL1 --> DR2 --> EU2 --> BR1 --> FU2 --> XR2 --> QU1 --> RU1 --> HL2 --> IL2 --> PD1 --> OD1 --> XR2 --> END
6,BlockingCars,2120,0.009794776,Y,145,1.351455688,1.911792453,1,21, GR4 --> PD1 --> FD2 --> DD2 --> XL3 --> EL2 --> CD1 --> BR1 --> PU3 --> QL2 --> GL2 --> CD3 --> QR2 --> FU1 --> GL2 --> PD3 --> XR3 --> PU3 --> QL1 --> OD3 --> XR1 --> END
7,BlockingCars,1953,0.012066365,Y,123,1.28956604,2.967741935,1,24, BL1 --> PU2 --> FU2 --> GU2 --> QR3 --> RR3 --> DD2 --> XR1 --> ER1 --> AD4 --> OR2 --> EL1 --> XL1 --> BL1 --> DU4 --> XR1 --> ER1 --> AU2 --> QL3 --> FD1 --> RL3 --> GD2 --> PD2 --> XR3 --> END
8,BlockingCars,1432,0.017433752,Y,103,1.254936218,1.30027933,1,25, RR3 --> PD1 --> XL1 --> QR2 --> DR3 --> BD4 --> CR1 --> XR1 --> AR1 --> PU3 --> QL3 --> OD2 --> AR3 --> CR3 --> OU2 --> QR3 --> PD3 --> XL1 --> BU4 --> XR1 --> PU3 --> RL3 --> QL3 --> OD3 --> XR3 --> END
9,BlockingCars,473,0.046025105,Y,35,1.226356506,1.298097252,1,22, DU2 --> XL2 --> AD1 --> BL1 --> JU1 --> EL2 --> FU1 --> OR2 --> AD3 --> ER2 --> XR2 --> DD4 --> BL2 --> XL2 --> EL2 --> AU4 --> XR2 --> ER2 --> DU2 --> OL2 --> FD2 --> XR2 --> END
10,BlockingCars,563,0.015576324,Y,48,1.754684448,2.36589698,1,10, CD1 --> BR3 --> DU2 --> EU2 --> FL3 --> CD1 --> QL1 --> PD1 --> ED1 --> XR4 --> END
